n 10000, m 100000
Time 0.0020 Cost 11
Time 0.0030 Cost 10
Time 0.0054 Cost 16
Time 0.0050 Cost 14
Time 0.0076 Cost 16
Time 0.0067 Cost 15
Time 0.0065 Cost 18
Time 0.0042 Cost 14
Time 0.0063 Cost 14
Time 0.0065 Cost 14
Time 0.0052 Cost 13
Time 0.0051 Cost 12
Time 0.0045 Cost 14
Time 0.0017 Cost 11
Time 0.0072 Cost 18
Time 0.0036 Cost 11
Time 0.0048 Cost 15
Time 0.0049 Cost 22
Time 0.0069 Cost 18
Time 0.0039 Cost 12
Time 0.0036 Cost 13
Time 0.0064 Cost 19
Time 0.0061 Cost 15
Time 0.0070 Cost 17
Time 0.0033 Cost 11
Time 0.0074 Cost 17
Time 0.0048 Cost 13
Time 0.0043 Cost 13
Time 0.0078 Cost 19
Time 0.0072 Cost 15
Time 0.0043 Cost 13
Time 0.0066 Cost 15
Time 0.0077 Cost 20
Time 0.0057 Cost 16
Time 0.0062 Cost 15
Time 0.0056 Cost 13
Time 0.0019 Cost 10
Time 0.0043 Cost 12
Time 0.0076 Cost 17
Time 0.0078 Cost 15
Time 0.0049 Cost 14
Time 0.0043 Cost 12
Time 0.0020 Cost 11
Time 0.0074 Cost 20
Time 0.0064 Cost 16
Time 0.0053 Cost 16
Time 0.0041 Cost 11
Time 0.0051 Cost 13
Time 0.0029 Cost 10
Time 0.0034 Cost 11
Tot 0.2628
Cost 11 - Time 0.353
