n 10000, m 100000
Time 0.0064 Cost 11
Time 0.0057 Cost 10
Time 0.0064 Cost 16
Time 0.0059 Cost 14
Time 0.0058 Cost 16
Time 0.0058 Cost 15
Time 0.0057 Cost 18
Time 0.0059 Cost 14
Time 0.0064 Cost 14
Time 0.0058 Cost 14
Time 0.0058 Cost 13
Time 0.0059 Cost 12
Time 0.0057 Cost 14
Time 0.0058 Cost 11
Time 0.0057 Cost 18
Time 0.0057 Cost 11
Time 0.0056 Cost 15
Time 0.0057 Cost 22
Time 0.0059 Cost 18
Time 0.0057 Cost 12
Time 0.0057 Cost 13
Time 0.0071 Cost 19
Time 0.0059 Cost 15
Time 0.0059 Cost 17
Time 0.0058 Cost 11
Time 0.0058 Cost 17
Time 0.0059 Cost 13
Time 0.0058 Cost 13
Time 0.0057 Cost 19
Time 0.0059 Cost 15
Time 0.0057 Cost 13
Time 0.0058 Cost 15
Time 0.0057 Cost 20
Time 0.0057 Cost 16
Time 0.0057 Cost 15
Time 0.0057 Cost 13
Time 0.0057 Cost 10
Time 0.0059 Cost 12
Time 0.0057 Cost 17
Time 0.0060 Cost 15
Time 0.0059 Cost 14
Time 0.0058 Cost 12
Time 0.0060 Cost 11
Time 0.0056 Cost 20
Time 0.0057 Cost 16
Time 0.0058 Cost 16
Time 0.0061 Cost 11
Time 0.0062 Cost 13
Time 0.0070 Cost 10
Time 0.0068 Cost 11
Tot 0.2959
Cost 11 - Time 0.420
