n 10000, m 1000000
Time 0.4134 Cost 3
Time 1.8637 Cost 4
Time 1.5107 Cost 4
Time 0.4847 Cost 3
Time 1.6574 Cost 4
Time 2.0590 Cost 4
Time 0.9746 Cost 4
Time 2.4875 Cost 5
Time 0.2492 Cost 3
Time 1.4981 Cost 4
Time 0.3972 Cost 3
Time 2.4589 Cost 5
Time 1.4424 Cost 4
Time 0.4687 Cost 3
Time 1.8633 Cost 4
Time 2.4191 Cost 5
Time 1.6799 Cost 4
Time 2.1468 Cost 4
Time 2.4898 Cost 5
Time 0.2796 Cost 3
Time 1.0473 Cost 4
Time 2.4706 Cost 5
Time 1.9961 Cost 5
Time 2.2906 Cost 4
Time 1.9074 Cost 4
Time 0.8000 Cost 4
Time 2.4565 Cost 5
Time 1.6456 Cost 4
Time 1.2459 Cost 4
Time 0.7403 Cost 4
Time 2.4497 Cost 5
Time 2.4509 Cost 5
Time 2.4584 Cost 5
Time 0.8578 Cost 4
Time 1.7998 Cost 5
Time 1.0003 Cost 4
Time 2.4771 Cost 5
Time 2.4797 Cost 5
Time 1.6029 Cost 5
Time 1.6136 Cost 4
Time 1.5892 Cost 4
Time 1.5278 Cost 4
Time 1.3536 Cost 4
Time 0.6150 Cost 4
Time 2.3257 Cost 5
Time 2.4822 Cost 5
Time 2.3736 Cost 5
Time 1.5344 Cost 4
Time 1.4858 Cost 4
Time 0.7196 Cost 4
Tot 87.3425
Cost 4 - Time 88.814
