n 10000, m 1000000
Time 0.0045 Cost 3
Time 0.0132 Cost 4
Time 0.0123 Cost 4
Time 0.0041 Cost 3
Time 0.0147 Cost 4
Time 0.0133 Cost 4
Time 0.0137 Cost 4
Time 0.0177 Cost 5
Time 0.0023 Cost 3
Time 0.0153 Cost 4
Time 0.0054 Cost 3
Time 0.0184 Cost 5
Time 0.0172 Cost 4
Time 0.0044 Cost 3
Time 0.0154 Cost 4
Time 0.0113 Cost 4
Time 0.0083 Cost 4
Time 0.0091 Cost 4
Time 0.0195 Cost 5
Time 0.0045 Cost 3
Time 0.0098 Cost 4
Time 0.0182 Cost 5
Time 0.0196 Cost 5
Time 0.0065 Cost 4
Time 0.0079 Cost 4
Time 0.0141 Cost 4
Time 0.0185 Cost 5
Time 0.0174 Cost 4
Time 0.0159 Cost 4
Time 0.0120 Cost 4
Time 0.0196 Cost 5
Time 0.0156 Cost 5
Time 0.0190 Cost 5
Time 0.0174 Cost 4
Time 0.0164 Cost 5
Time 0.0102 Cost 4
Time 0.0181 Cost 5
Time 0.0191 Cost 5
Time 0.0197 Cost 5
Time 0.0137 Cost 4
Time 0.0144 Cost 4
Time 0.0103 Cost 4
Time 0.0132 Cost 4
Time 0.0155 Cost 4
Time 0.0171 Cost 5
Time 0.0189 Cost 5
Time 0.0175 Cost 5
Time 0.0052 Cost 4
Time 0.0108 Cost 4
Time 0.0135 Cost 4
Tot 0.6701
Cost 4 - Time 1.458
