n 10000, m 1000000
Time 0.0539 Cost 3
Time 0.0535 Cost 4
Time 0.0536 Cost 4
Time 0.0535 Cost 3
Time 0.0535 Cost 4
Time 0.0535 Cost 4
Time 0.0536 Cost 4
Time 0.0535 Cost 5
Time 0.0535 Cost 3
Time 0.0535 Cost 4
Time 0.0535 Cost 3
Time 0.0535 Cost 5
Time 0.0541 Cost 4
Time 0.0534 Cost 3
Time 0.0537 Cost 4
Time 0.0534 Cost 4
Time 0.0535 Cost 4
Time 0.0534 Cost 4
Time 0.0534 Cost 5
Time 0.0535 Cost 3
Time 0.0535 Cost 4
Time 0.0535 Cost 5
Time 0.0535 Cost 5
Time 0.0534 Cost 4
Time 0.0534 Cost 4
Time 0.0534 Cost 4
Time 0.0534 Cost 5
Time 0.0535 Cost 4
Time 0.0534 Cost 4
Time 0.0535 Cost 4
Time 0.0534 Cost 5
Time 0.0535 Cost 5
Time 0.0534 Cost 5
Time 0.0535 Cost 4
Time 0.0535 Cost 5
Time 0.0535 Cost 4
Time 0.0534 Cost 5
Time 0.0534 Cost 5
Time 0.0535 Cost 5
Time 0.0535 Cost 4
Time 0.0534 Cost 4
Time 0.0535 Cost 4
Time 0.0535 Cost 4
Time 0.0534 Cost 4
Time 0.0534 Cost 5
Time 0.0534 Cost 5
Time 0.0534 Cost 5
Time 0.0535 Cost 4
Time 0.0536 Cost 4
Time 0.0535 Cost 4
Tot 2.6755
Cost 4 - Time 3.928
