n 10000, m 10000000
Time 4.7587 Cost 3
Time 4.9236 Cost 3
Time 4.7968 Cost 3
Time 4.8134 Cost 3
Time 3.3501 Cost 2
Time 4.2549 Cost 2
Time 4.5703 Cost 3
Time 2.6011 Cost 2
Time 3.0495 Cost 2
Time 4.3257 Cost 2
Time 5.0038 Cost 3
Time 4.4449 Cost 2
Time 4.7176 Cost 3
Time 4.9956 Cost 3
Time 4.2511 Cost 2
Time 3.7299 Cost 2
Time 4.4324 Cost 2
Time 4.1991 Cost 2
Time 4.9646 Cost 3
Time 4.4900 Cost 3
Time 5.0421 Cost 3
Time 4.4131 Cost 2
Time 5.0217 Cost 3
Time 3.5805 Cost 2
Time 4.9610 Cost 3
Time 2.8908 Cost 2
Time 3.3553 Cost 2
Time 4.4394 Cost 2
Time 3.5183 Cost 2
Time 5.0303 Cost 3
Time 4.6064 Cost 3
Time 4.7668 Cost 3
Time 4.9970 Cost 3
Time 4.8858 Cost 3
Time 3.3633 Cost 2
Time 3.9959 Cost 2
Time 3.6206 Cost 2
Time 4.5610 Cost 2
Time 4.9100 Cost 3
Time 2.9897 Cost 2
Time 5.0151 Cost 3
Time 4.8556 Cost 3
Time 4.1786 Cost 2
Time 3.2085 Cost 2
Time 3.5347 Cost 2
Time 4.6523 Cost 3
Time 3.5292 Cost 2
Time 4.7676 Cost 3
Time 3.8193 Cost 2
Time 3.4926 Cost 2
Tot 274.9881
Cost 2 - Time 290.847
